Denom,Year,Mintage,Mint_State,Value
HalfCent,1793,35334,AGood,2500
HalfCent,1793,35334,Good,3500.0
HalfCent,1793,35334,VGood,5000.0
HalfCent,1793,35334,Fine,8000.0
HalfCent,1793,35334,VFine,11000.0
HalfCent,1793,35334,EFine,17000.0
HalfCent,1793,35334,AUncirculated,25000.0
HalfCent,1794,81600,AGood,425
HalfCent,1794,81600,Good,575.0
HalfCent,1794,81600,VGood,950.0
HalfCent,1794,81600,Fine,1800.0
HalfCent,1794,81600,VFine,2250.0
HalfCent,1794,81600,EFine,5000.0
HalfCent,1794,81600,AUncirculated,11000.0
HalfCent,1795,139690,AGood,220
HalfCent,1795,139690,Good,500.0
HalfCent,1795,139690,VGood,675.0
HalfCent,1795,139690,Fine,1250.0
HalfCent,1795,139690,VFine,2000.0
HalfCent,1795,139690,EFine,4000.0
HalfCent,1795,139690,AUncirculated,7500.0
HalfCent,1796,1390,AGood,10500
HalfCent,1796,1390,Good,20000.0
HalfCent,1796,1390,VGood,25000.0
HalfCent,1796,1390,Fine,37500.0
HalfCent,1796,1390,VFine,50000.0
HalfCent,1796,1390,EFine,70000.0
HalfCent,1796,1390,AUncirculated,95000.0
HalfCent,1797,127840,AGood,275
HalfCent,1797,127840,Good,500.0
HalfCent,1797,127840,VGood,750.0
HalfCent,1797,127840,Fine,1250.0
HalfCent,1797,127840,VFine,3500.0
HalfCent,1797,127840,EFine,6000.0
HalfCent,1797,127840,AUncirculated,8500.0
HalfCent,1800,202908,AGood,55
HalfCent,1800,202908,Good,110.0
HalfCent,1800,202908,VGood,150.0
HalfCent,1800,202908,Fine,175.0
HalfCent,1800,202908,VFine,300.0
HalfCent,1800,202908,EFine,675.0
HalfCent,1800,202908,AUncirculated,850.0
HalfCent,1802,20266,AGood,475
HalfCent,1802,20266,Good,950.0
HalfCent,1802,20266,VGood,2250.0
HalfCent,1802,20266,Fine,4750.0
HalfCent,1802,20266,VFine,11000.0
HalfCent,1802,20266,EFine,20000.0
HalfCent,1803,92000,AGood,45
HalfCent,1803,92000,Good,95.0
HalfCent,1803,92000,VGood,120.0
HalfCent,1803,92000,Fine,175.0
HalfCent,1803,92000,VFine,325.0
HalfCent,1803,92000,EFine,950.0
HalfCent,1803,92000,AUncirculated,1500.0
HalfCent,1804,1055312,AGood,40
HalfCent,1804,1055312,Good,85.0
HalfCent,1804,1055312,VGood,125.0
HalfCent,1804,1055312,Fine,145.0
HalfCent,1804,1055312,VFine,225.0
HalfCent,1804,1055312,EFine,385.0
HalfCent,1804,1055312,AUncirculated,675.0
HalfCent,1805,814464,AGood,40
HalfCent,1805,814464,Good,85.0
HalfCent,1805,814464,VGood,125.0
HalfCent,1805,814464,Fine,145.0
HalfCent,1805,814464,VFine,225.0
HalfCent,1805,814464,EFine,400.0
HalfCent,1805,814464,AUncirculated,750.0
HalfCent,1806,356000,AGood,40
HalfCent,1806,356000,Good,85.0
HalfCent,1806,356000,VGood,125.0
HalfCent,1806,356000,Fine,145.0
HalfCent,1806,356000,VFine,175.0
HalfCent,1806,356000,EFine,325.0
HalfCent,1806,356000,AUncirculated,675.0
HalfCent,1807,476000,AGood,40
HalfCent,1807,476000,Good,85.0
HalfCent,1807,476000,VGood,125.0
HalfCent,1807,476000,Fine,145.0
HalfCent,1807,476000,VFine,200.0
HalfCent,1807,476000,EFine,500.0
HalfCent,1807,476000,AUncirculated,1000.0
HalfCent,1808,400000,AGood,40
HalfCent,1808,400000,Good,85.0
HalfCent,1808,400000,VGood,125.0
HalfCent,1808,400000,Fine,145.0
HalfCent,1808,400000,VFine,220.0
HalfCent,1808,400000,EFine,525.0
HalfCent,1808,400000,AUncirculated,1200.0
HalfCent,1809,1154572,Good,55.0
HalfCent,1809,1154572,VGood,95.0
HalfCent,1809,1154572,Fine,115.0
HalfCent,1809,1154572,VFine,125.0
HalfCent,1809,1154572,EFine,150.0
HalfCent,1809,1154572,AUncirculated,275.0
HalfCent,1809,1154572,MintState60,750.0
HalfCent,1809,1154572,MintState63,1350.0
HalfCent,1810,215000,Good,70.0
HalfCent,1810,215000,VGood,100.0
HalfCent,1810,215000,Fine,150.0
HalfCent,1810,215000,VFine,270.0
HalfCent,1810,215000,EFine,575.0
HalfCent,1810,215000,AUncirculated,1000.0
HalfCent,1810,215000,MintState60,2000.0
HalfCent,1810,215000,MintState63,3200.0
HalfCent,1811,63140,Good,400.0
HalfCent,1811,63140,VGood,725.0
HalfCent,1811,63140,Fine,1750.0
HalfCent,1811,63140,VFine,2500.0
HalfCent,1811,63140,EFine,6500.0
HalfCent,1811,63140,AUncirculated,10000.0
HalfCent,1811,63140,MintState60,32500.0
HalfCent,1811,63140,MintState63,75000.0
HalfCent,1825,63000,Good,55.0
HalfCent,1825,63000,VGood,90.0
HalfCent,1825,63000,Fine,100.0
HalfCent,1825,63000,VFine,115.0
HalfCent,1825,63000,EFine,200.0
HalfCent,1825,63000,AUncirculated,325.0
HalfCent,1825,63000,MintState60,900.0
HalfCent,1825,63000,MintState63,1800.0
HalfCent,1826,234000,Good,55.0
HalfCent,1826,234000,VGood,90.0
HalfCent,1826,234000,Fine,100.0
HalfCent,1826,234000,VFine,115.0
HalfCent,1826,234000,EFine,150.0
HalfCent,1826,234000,AUncirculated,300.0
HalfCent,1826,234000,MintState60,600.0
HalfCent,1826,234000,MintState63,1000.0
HalfCent,1828,606000,Good,50.0
HalfCent,1828,606000,VGood,90.0
HalfCent,1828,606000,Fine,100.0
HalfCent,1828,606000,VFine,115.0
HalfCent,1828,606000,EFine,120.0
HalfCent,1828,606000,AUncirculated,200.0
HalfCent,1828,606000,MintState60,325.0
HalfCent,1828,606000,MintState63,600.0
HalfCent,1829,487000,Good,50.0
HalfCent,1829,487000,VGood,90.0
HalfCent,1829,487000,Fine,100.0
HalfCent,1829,487000,VFine,115.0
HalfCent,1829,487000,EFine,140.0
HalfCent,1829,487000,AUncirculated,220.0
HalfCent,1829,487000,MintState60,400.0
HalfCent,1829,487000,MintState63,700.0
HalfCent,1831,2200,Proof,15000.0
HalfCent,1832,51000,VGood,65.0
HalfCent,1832,51000,Fine,90.0
HalfCent,1832,51000,VFine,110.0
HalfCent,1832,51000,EFine,125.0
HalfCent,1832,51000,AUncirculated,200.0
HalfCent,1832,51000,MintState60,325.0
HalfCent,1832,51000,Proof,12500.0
HalfCent,1833,103000,VGood,65.0
HalfCent,1833,103000,Fine,90.0
HalfCent,1833,103000,VFine,110.0
HalfCent,1833,103000,EFine,125.0
HalfCent,1833,103000,AUncirculated,200.0
HalfCent,1833,103000,MintState60,325.0
HalfCent,1833,103000,Proof,6000.0
HalfCent,1834,141000,VGood,65.0
HalfCent,1834,141000,Fine,90.0
HalfCent,1834,141000,VFine,110.0
HalfCent,1834,141000,EFine,125.0
HalfCent,1834,141000,AUncirculated,200.0
HalfCent,1834,141000,MintState60,300.0
HalfCent,1834,141000,Proof,6000.0
HalfCent,1835,398000,VGood,65.0
HalfCent,1835,398000,Fine,85.0
HalfCent,1835,398000,VFine,110.0
HalfCent,1835,398000,EFine,125.0
HalfCent,1835,398000,AUncirculated,200.0
HalfCent,1835,398000,MintState60,325.0
HalfCent,1835,398000,Proof,6000.0
HalfCent,1836,-999,Proof,8000.0
HalfCent,1837,-999,Good,45.0
HalfCent,1837,-999,VGood,65.0
HalfCent,1837,-999,Fine,75.0
HalfCent,1837,-999,VFine,110.0
HalfCent,1837,-999,EFine,200.0
HalfCent,1837,-999,AUncirculated,375.0
HalfCent,1837,-999,MintState60,700.0
HalfCent,1840,-999,Proof,6500.0
HalfCent,1841,-999,Proof,5500.0
HalfCent,1842,-999,Proof,7000.0
HalfCent,1843,-999,Proof,5500.0
